ID,Judgement
m1s-1,A
m1s-2,A
m1s-3,B
m1s-4,B
m1s-5,B
m1s-6,A
m1s-7,B
m1s-8,A
m1s-9,B
m1s-10,B
m1s-11,B
m1s-12,A
m1s-13,A
m1s-14,B
m1s-15,A
m1s-16,A
m1s-17,A
m1s-18,A
m1s-19,B
m1s-20,A
m1s-21,A
m1s-22,A
m1s-23,B
m1s-24,A
m1s-25,B
m1s-26,B
m1s-27,B
m1s-28,B
m1s-29,A
m1s-30,B
m1s-31,B
m1s-32,A
m1s-33,B
m1s-34,A
m1s-35,B
m1s-36,A
m1s-37,A
m1s-38,A
m1s-39,B
m1s-40,A
m1s-41,A
m1s-42,A
m1s-43,B
m1s-44,B
m1s-45,B
m1s-46,B
m1s-47,X
m1s-48,A
m1s-49,X
m1s-50,B
m1s-51,A
m1s-52,B
m1s-53,A
m1s-54,A
m1s-55,A
m1s-56,A
m1s-57,B
m1s-58,A
m1s-59,B
m1s-60,B
m1s-61,B
m1s-62,A
m1s-63,B
m1s-64,B
m1s-65,B
m1s-66,B
m1s-67,A
m1s-68,B
m1s-69,A
m1s-70,B
m1s-71,B
m1s-72,B
m1s-73,B
m1s-74,A
m1s-75,A
m1s-76,A
m1s-77,X
m1s-78,A
m1s-79,A
m1s-80,A
m1s-81,B
m1s-82,B
m1s-83,X
m1s-84,A
m1s-85,A
m1s-86,X
m1s-87,A
m1s-88,B
m1s-89,A
m1s-90,A
m1s-91,B
m1s-92,A
m1s-93,B
m1s-94,B
m1s-95,B
m1s-96,B
m1s-97,A
m1s-98,B
m1s-99,B
m1s-100,A
m1s-101,A
m1s-102,B
m1s-103,A
m1s-104,B
m1s-105,A
m1s-106,A
m1s-107,B
m1s-108,A
m1s-109,B
m1s-110,A
m1s-111,A
m1s-112,B
m1s-113,B
m1s-114,B
m1s-115,A
m1s-116,A
m1s-117,A
m1s-118,B
m1s-119,A
m1s-120,B
