wmt_article,wmt_line,wmt_article_name,src,mt,human_a,human_b
23,502,ifeng0812.news.49763859_0,“这5000元资助，解了我的燃眉之急。”,"""This $5000 grant has solved my immediate need.""","""This 5,000 RMB subsidy really resolved my current crisis.""",
23,503,ifeng0812.news.49763859_0,花垣县长乐乡米迫村贫困建档立卡户女孩周芬收到了南华大学录取通知书。,"Zhou Fen, a poor girl who built stalls in Mizuo Village, Changle Township, Huayuan County, received an acceptance letter from the University of Southern China.","Zhou Fen, a girl from a poor household for which information has been recorded and archived, living in Mipo Village, Changle Township, Huayuan County, received an admission notice from Nanhua University.",
23,504,ifeng0812.news.49763859_0,正当她为入学费用犯愁时，8月9日，团县委及时给她落实了5000元资助款。,"When she was worried about the cost of admission, on August 9, the Youth League County Committee gave her a timely implementation of the 5000 yuan grant.","Just as she started to worry about tuition fees, the county committee of the league provided her with a timely sum of aid money of 5,000 RMB on August 9.",
23,505,ifeng0812.news.49763859_0,连日来，县有关部门还为690余名贫困大学生落实283.8万元就学资助。,"Over the past few days, the county authorities have also provided 2.838 million yuan in financial aid to more than 690 impoverished college students.","For days, relevant departments in the counties have provided 2.838 million RMB of bursaries for over 690 college students from poor families.",
23,506,ifeng0812.news.49763859_0,同时，对于家庭经济状况特别困难的，还通过组织社会捐资助学等形式，帮助其完成学业。,"At the same time, if the family's financial situation is particularly difficult, they are also helped to complete their studies by organizing social donations and other forms of education.","For families facing extremely difficult economic situations, social donations for school subsidies are also organized to help students complete their academic careers.",
23,507,ifeng0812.news.49763859_0,花垣今年整合助学资金1850多万元，财政自筹250多万元，由财政部门按规定时限打入贫困学生实名银行卡中。,"This year, Hua Yuan consolidated more than 18.5 million yuan in student aid funds and raised more than 2.5 million yuan in self-financed funds, which were transferred by the financial department into real-name bank cards of poor students within a specified time limit.","For this year, Huayuan has consolidated a sum of over 18.50 million RMB for academic scholarships and independently financed a sum of over 2.5 million RMB for this purpose. The financial department will transfer the fees to a named bank account of the needy students within the specified time period.",
23,508,ifeng0812.news.49763859_0,她感激地说：“我原以为爸爸去世了，我和哥哥都上不成大学了，没想到县里及时为我们解决了困难。”,"""I thought my dad had died and my brother and I weren't going to college,"" she said gratefully. ""I didn't think the county would solve the problem for us in time.""","She thankfully said: ""I thought my older brother and I would never make it to college after my father passed away. We never thought that the county will promptly provide us with assistance to address the issue.""",
23,509,ifeng0812.news.49763859_0,截至8月8日，花垣已为13140名贫困学生落实今年上半年各种救助资金2100多万元。,"As of August 8, Hanagaki has provided more than 21 million yuan in various relief funds for 13,140 impoverished students in the first half of this year.","As of August 8, Huayuan has provided poor students with over 21 million RMB in subsidies and bursaries for 13,140 poor students for the first half of this year.",
23,510,ifeng0812.news.49763859_0,所有本县籍贫困学生实现了应助尽助、该补则补。,"All of the county's poor students to achieve the necessary help, the supplement.",Every poor student in this county has received financial assistance and subsidy.,
24,511,ifeng0812.news.49763971_0,记者在现场看到，一辆大型的货柜车车头在交警指挥下移靠在快车道上，货柜箱掉落在绿化道，路边被砸出一条2厘米深的坑。,"At the scene, the head of a large container vehicle was seen moving under the direction of the traffic police and leaning against the express lane, the container box fell on a green road and a 2cm sinkhole was smashed on the side of the road.","At the site, reporters saw a large container tractor unit parking next to the fast lane under the direction of the traffic police. The container has fallen on the landscape lane, creating a pit 2-cm deep by the road side.",Reporters saw at the site that a large container truck was moved to the HOV lane as directed by the traffic police. The container box however tipped off to the highway greenery and made a hole that was 2 cm deep. 
25,512,ifeng0812.news.49763997_0,据新华社消息澳大利亚新南威尔士州政府11日宣布，将斥资2亿澳元（约合1.54亿美元）对著名的悉尼歌剧院进行建成以来最大规模的修缮。,"The New South Wales state government will spend 200 million Australian dollars (154 million U.S. dollars) on the biggest renovation of the famous Sydney Opera House since it was built, Xinhua reported Wednesday.","According to news from Xinhuanet, the New South Wales state government of Australia will be spending 200 million Australian Dollars (approximately equivalent to 154 million USD) for the largest renovation project for the Sydney Opera House since the construction of the building.",
25,513,ifeng0812.news.49763997_0,新南威尔士州政府表示，此次修缮不会改变歌剧院贝壳状的外形。,The NSW government said the renovation would not change the opera house's shell-like appearance.,"The restoration will not change the shell shape of the theater, said the NSW government.",
25,514,ifeng0812.news.49763997_0,悉尼歌剧院是悉尼的地标性建筑之一，由丹麦建筑师约恩·乌特松设计，1973年建成，每年接待约800万参观者。,"The Sydney Opera House, one of Sydney's iconic buildings, was designed by Danish architect Jon Utzon and was completed in 1973, hosting about eight million visitors a year.","The Sydney Opera House designed by Danish architect Jørn Utzon was completed in 1973, receiving around 8 million visitors  annually as a urban landmark.",
25,515,ifeng0812.news.49763997_0,悉尼交响乐团总经理罗里·杰夫斯认为，悉尼歌剧院将借这次改造打个“翻身仗”，成为“世界上音响效果最好的音乐厅之一”。,"Rory Jeffs, general manager of the Sydney Symphony Orchestra, believes the Sydney Opera House will use the revamp to make a ""turnaround"" and become ""one of the best acoustics concert halls in the world.""","​Sydney Symphony Orchestra Managing Director Rory Jeffes believed that the Sydney Opera House would use this renovation to ""turnaround"" and become ""a concert hall with the greatest acoustics in the world.""",
26,516,ifeng0812.news.49764187_0,"在京居住6个月以上的且符合在京有合法稳定就业、合法稳定住所、连续就读条件之一的非京籍市民,可以申请领取居住证。","Non-Beijing citizens who have lived in Beijing for more than six months and who meet one of the requirements for lawful and stable employment, legal stable residence and continuous study in Beijing may apply for a residence permit.","Non-residents of Beijing who have lived in Beijing for more than six months, and comply with the one of the conditions of having legal and stable employment, legal and stable residence or continuous study, may apply for a residence permit.","Those who are not from Beijing but have lived in Beijing for more than six months and meet one of the conditions of consecutively having legal and stable employment, and legal and stable residence can apply for a residence permit."
26,517,ifeng0812.news.49764187_0,"近日,北京《居住证暂行条例》实施细则出台,这意味着“暂住证”将升级为“居住证”。","Recently, Beijing ""Temporary Residence Permit Regulations"" detailed implementation rules, which means that the ""temporary residence permit"" will be upgraded to ""residence permit.""","Recently, Beijing issued detailed rules for the implementation of the Interim Rules on Residence Permit. This implies that the ""temporary residence permit"" will be upgraded to ""residence permit"".","Recently, Beijing issued the ""Interim Regulations on Residence Permits"". This means that ""temporary residence permits"" will be upgraded to ""residence permits."""
26,518,ifeng0812.news.49764187_0,"相关部门负责人称,从“暂住证”到“居住证”的转变,意味着北京对非京籍常住人口将从“管理”转为多方位服务。","The shift from ""temporary residence permits"" to ""residence permits"" means Beijing will shift from ""management"" to multi-faceted services for the non-Beijing resident population, according to department heads.","Head officials of relevant departments said that the transformation of ""temporary residence permit"" to ""residence permit"" meant that the City of Beijing will move away from ""managing"" long-term residents from outside the city and instead provide them with a wide selection of services.","The person in charge of the relevant department stated that the shift from the “temporary residence permit” to “residence permit” means that Beijing will be moving from ""managing"" non-residents to being able to provide a facet of services."
27,519,ifeng0812.news.49764254_0,"记者今天从国家税务总局了解到,截至今年6月底,各级税务机关已公布税收违法“黑名单”案件2470件。","Reporters learned today from the State Administration of Taxation that by the end of June this year, tax authorities at all levels had announced 2,470 ""blacklist"" cases of tax violations.","Reporters learned from the State Administration of Taxation that as of end-June this year, tax authorities at various levels have disclosed a tax violation ""blacklist"" comprising 2470 cases.",
27,520,ifeng0812.news.49764254_0,"据了解,2014年7月,国家税务总局在中央政府职能部门中先行一步,与《纳税信用管理办法》联袂发布了《重大税收违法案件信息公布办法》。","It is understood that in July 2014, the State Administration of Taxation took the first step in the functional departments of the central Government and, jointly with the Measures on the Administration of Tax Credit, issued the Measures on the Disclosure of Information on Major Tax Violations.","It was reported that in July 2014, the State Administration of Taxation took the first step among the functional departments of the Central Government, and announced the Measures for the Administration of Taxpayer Creditworthiness together with the Measures for Announcing Information Concerning Major Unlawful Tax Practices.",
27,521,ifeng0812.news.49764254_0,"不但这些案件的违法事实、法律依据、处理处罚情况会被公布,而且违法当事人的基本信息以及相关中介机构责任人也会被列入“黑名单”一并曝光。","Not only the illegal facts, legal basis and punishment of these cases will be published, but also the basic information of the illegal parties and the persons responsible for the relevant intermediary agencies will also be put on the ""blacklist"" to be exposed at the same time.","Not only will the facts of malfeasance, legal basis, and the handling and punishment pertaining to these cases be released to the public, the basic information of the perpetrators as well as the relevant competent persons of the intermediaries will also be listed in a ""blacklist"" and disclosed.",
27,522,ifeng0812.news.49764254_0,质检、财政、海关等政府部门也对“黑名单”当事人采取了相关惩戒措施。,"Quality inspection, finance, customs and other government departments have also taken relevant disciplinary measures against ""blacklist"" parties.","Quality inspections, finances, customs, and other government institutions also implemented punitive measures against parties on the ""blacklist"".",
27,523,ifeng0812.news.49764254_0,"“信用修复机制是税收信用体系建设乃至全社会信用体系建设的一个重要的里程碑,标志着我国社会信用体系建设在不断发展完善,日趋成熟。”","""The credit repair mechanism is an important milestone in the construction of the tax credit system and even the whole social credit system. It marks the continuous development and improvement of China's social credit system.""","""Credit score repair is an important milestone for building tax credit system, and even the social credit system. It signifies continuous development, perfection, and maturation in building a social credit system in our country.""",
28,524,ifeng0812.news.49764389_0,“环境问题表现在大气、水、土壤污染上，但根子还是在生产生活方式上”。,"""Environmental problems manifest themselves in air, water and soil pollution, but the roots are still in the way of production and life,"" he said.","""Environmental problems are reflected in air, water, and soil pollution but are ultimately rooted in production methods and lifestyle.""","""Environmental issues are reflected in the atmosphere, water and land pollution but the problem still stems from our production and lifestyle."""
28,525,ifeng0812.news.49764389_0,例如，2015年江苏省土地开发度高达21%，位列全国省、自治区最高。,"In 2015, for example, land development in Jiangsu Province reached 21 per cent, the highest in the country's provinces and autonomous regions.","For example, in 2015, the extent of land development in Jiangsu Province was 21%, the highest among all provinces and autonomous regions in the country.","For example, the land development percentage in Jiangsu Province in 2015 was as high as 21%, which puts it the highest in the provinces and autonomous regions."
28,526,ifeng0812.news.49764389_0,因此，高污染、大能源、多占地的问题还没有从生产生活方式转变上得到根本性应对。,"As a result, the problems of high pollution, large energy sources, and more land occupation have not been fundamentally addressed from the shift in production and life style.","Therefore, there has been a lack of radical response to issues pertaining to heavy pollution, big energy and large land coverage in terms of a change in production methods and lifestyle.","Therefore, the problem of high pollution, large energy usage, and land occupation has not yet been fundamentally dealt with from the change in production and lifestyle."
28,527,ifeng0812.news.49764389_0,一方面，从江苏省各级各类生态环境创建成效来看，以绝对优势位居全国首位；但另一方面，资源环境承载压力大。,"On the one hand, Jiangsu Province at all levels of the effectiveness of various types of ecological environment to create, with absolute superiority in the first place in the country; but on the other hand, the resources and environment bearing pressure.","On the one hand, based on the results of the establishment of various levels and types of ecological environment in Jiangsu Province, it ranks first on an overwhelming basis. On the other hand, however, the resource environment in under significant pressure.","On one hand, Jiangsu Province ranks first in the country on the effectiveness of the use of land; however, on the other hand, it places a large burden on the resource and environment."
28,528,ifeng0812.news.49764389_0,扎实推进生态环境保护和治理，需要从根本上推进生产生活方式转变，以生态文明建设促转型惠民生。,"To promote the protection and treatment of ecological environment in a down-to-earth manner, it is necessary to fundamentally advance the transformation of production and life style and promote the transformation of people's lives through the construction of ecological civilization.",Effective promotion of ecological conservation and governance requires a fundamental transformation of production methods and lifestyles. An ecological and civilized approach to development can promote and benefit everyday life.,"To promote ecological environmental protection and governance thoroughly, we must fundamentally promote changes in production and lifestyle to benefit the people."
29,529,ifeng0812.news.49764453_0,11日，在连云港港码头，由国电集团生产的42片风电叶片装船准备出口南非。,"On November 11, 42 wind turbine blades produced by Guodian Group were shipped to South Africa for export at Lianyungang Port Terminal.","In November, 42 pieces of wind turbine blade manufactured by China Guodian Corporation were loaded at Lianyungang port for export to South Africa.",
29,530,ifeng0812.news.49764453_0,自去年以来，国电集团共计有163套风电项目陆续从连云港港出口南非。,"Since last year, a total of 163 wind power projects have been exported from Lianyungang Port to South Africa.","Since last year, Guodian Corporation has exported a total of 163 wind power projects to South Africa from the Port of Lianyungang.",
30,531,ifeng0812.news.49764457_0,奥组委委托制作国旗的第三方公司（非中国公司）在巴西圣保罗州，距离圣保罗市约75公里。,"The third party company (non-Chinese) commissioned by the organising committee to make the flag is in the Brazilian state of São Paulo, about 75km from the city of São Paulo.",The third party company (non-Chinese company) commissioned by the International Olympic Committee to manufacture the flags is located in the State of São Paulo 75 kilometers away from the City of São Paulo.,"The third party company (not a Chinese company) commissioned by the BOCOG to produce the national flag is located in the state of Sao Paulo, Brazil, which is around 75 kilometers away from São Paulo city."
30,532,ifeng0812.news.49764457_0,为督促厂家尽快完工，中国驻圣保罗总领馆组织专人赶赴厂家，深入做工作。,"In order to urge the manufacturers to complete the work as soon as possible, the Chinese Consulate General in Sao Paulo organized special staff to rush to the manufacturers and do in-depth work.","To urge manufacturers to complete their work as soon as possible, the Chinese Embassy in Sao Paulo arranged for experts to go to the manufacturers  to perform detailed work.","In order to supervise and push them to complete the work as soon as possible, the Chinese Consulate General in São Paulo arranged a special staff to do so."
30,533,ifeng0812.news.49764457_0,经过30个小时加班加点，该厂家终于完成中国国旗制作并装车赴运，将原本需要4－5个工作日的任务提前完成。,"After 30 hours of overtime, the manufacturer finally completed the production of the Chinese national flag and loaded the car for shipment, completing the task ahead of schedule, which would have taken four to five working days.","After 30 hours of overtime, the manufacturer finally finished making the Chinese flags and loaded them for shipment, completing a task that was to have taken four to five working days ahead of time.","After clocking 30 overtime hours, the manufacturer finally completed the Chinese flag and loaded it onto the truck, A task like this would have normally required 4-5 business days to complete."
30,534,ifeng0812.news.49764457_0,据悉，国旗预计于11日运抵里约，奥组委收到国旗后会送到各个奥运场馆，整个过程将在中国驻巴西使领馆的监督之下完成。,"It is reported that the flag is expected to arrive in Rio on the 11th, the Olympic Organizing Committee received the flag will be sent to the various Olympic venues, the whole process will be completed under the supervision of the Chinese Embassy and Consulate in Brazil.","It was reported that the flag is expected to arrive in Rio on the 11th. The Olympic Committee, upon receiving the flag, will deliver it to all the Olympic stadiums. The Chinese Embassy in Brazil will oversee the entire process until its completion.",The national flag is expected to arrive in Rio on the 11th and the Olympic Organizing Committee would send the flag to all the venues. The entire process was done under the supervision of the Chinese embassy in Brazil.
31,535,ifeng0812.news.49764493_0,本报讯10日，南通市政府在上海国际会议中心举办沪通产业合作恳谈活动，180多家上海企业受邀参加，20个亿元以上沪通产业对接项目现场签约。,"10, Nantong municipal government in Shanghai International Conference Center held Shanghai-Shanghai industrial cooperation activities, more than 180 Shanghai enterprises were invited to participate in, more than 20 billion Shanghai-Shanghai industrial docking project site contract.","According to our correspondents, on the 10th day, the Nantong city government held a Shanghai-Nantong Business Partnership Bidding at the Shanghai International Convention Center. Over 180 Shanghai businesses were invited to the event and signed, at the site, projects worth over 2 billion RMB for Shanghai-Nantong business projects.",
31,536,ifeng0812.news.49764493_0,集中签约的20个项目总投资80.63亿元，涉及新能源、新材料、现代服务业等多个行业。,"The 20 centrally contracted projects, with a total investment of 8.063 billion yuan, involve a number of industries such as new energy, new materials and modern service industries.","Total investments for 20 projects of the centralized agreement amounted to 8.063 billion RMB, and involves multiple sectors such as new energy, new materials, and modern services.",
32,537,ifeng0812.news.49764500_0,青岛是全国第12个也是山东省首个排污权有偿使用和交易试点城市。,Qingdao is the 12th in China and the first pilot city of paid use and trading of emission rights in Shandong Province.,Qingdao is the 12th city in the nation and the first in Shandong Province to implement the pilot program for paying for the use and trading of emissions rights.,Qingdao is the 12th and the first pilot city in Shandong Province to utilize a carbon trading scheme.
32,538,ifeng0812.news.49764500_0,"11日,多家企业分别来到青岛市排污权交易中心提交排污权申购,申购受理后将缴纳有偿使用费。","11, a number of enterprises came to Qingdao Municipal Emission Trading Center to submit applications for the purchase of emission rights, purchase acceptance will pay a fee.","On the 11th, many companies submitted emission rights purchase applications at the Qingdao Emissions Trading Center. Those who successfully applied for the rights will start paying a usage fee.","On the 11th, many companies came to the Qingdao's Emission Trading Center to submit their carbon trading application and will pay the permit fees once it is processed."
32,539,ifeng0812.news.49764500_0,"此次即将完成的交易首单也预示着青岛排污权交易试点工作正式拉开序幕,这也将是全省排污权交易首单和全国城市级排污权交易首单。","The transaction is about to complete the first single also indicates that Qingdao emissions trading pilot work officially kicked off, which will be the province's emissions trading first single and the first nationwide city-level emissions trading.",The imminent completion of this first trade also marks the official launch of the pilot program for the trading of emission rights in Qingdao. This will also be the first emission rights trade in the Province as well as the first city-level  emission rights trade in the nation.,"The first trading done represents that the carbon emission trading pilot program has officially started, and will be the first in the province to introduce the emission trading scheme at the city-level."
32,540,ifeng0812.news.49764500_0,"11日上午,青岛双桃精细化工(集团)有限公司总经理赵秀平来到青岛市排污权交易中心提交排污权申购。","On the morning of November 11, Zhao Xiuping, general manager of Qingdao Shuangtao Fine Chemical Industry (Group) Co., Ltd. came to Qingdao Emission Trading Center to submit the application for emission rights.","In the morning of the 11th, Zhao Xiuping, general manager of Qingdao Shuangtao Jingxi Chemical Industry (Group) came to the Qingdao City Emissions Trading Center to submit an application to purchase emission rights.","On the morning of the 11th, Zhao Xiuping, the president of Qingdao Shuangtao Jingxi Chemical Industry (Group) Limited Company, came to the Qingdao Emissions Trading Center to submit an application to purchase an emission permit."
32,541,ifeng0812.news.49764500_0,"该企业位于青岛老城区的厂区去年年底全面停产,环保搬迁至平度的新厂区。","The enterprise is located in the old city of Qingdao plant at the end of last year to stop production, environmental protection moved to the new plant in Pingdu.","This corporation, situated in the factory area of Old Town of Qingdao, stopped its production lines at the end of last year, and was moved, using environment-friendly means, to a new plant area in Pingdu.",The same company had a plant in Qingdao's old town but was shut down last year and relocated to Pingdu for environmental concerns.
32,542,ifeng0812.news.49764500_0,"赵秀平提交了申请表、建设项目环境影响报告书等材料后,青岛市排污权储备和交易服务中心开始对申请材料进行初审。","After Zhao Xiuping submitted the application form, the environmental impact statement of the construction project and other materials, the Qingdao Municipal Emission Right Reserve and Trading Service Center began the preliminary examination of the application materials.","Zhao Xiuping submitted the application form, environmental impact report, and other materials for the construction project. The Qingdao City Emissions Reserve and Trading Service Center began preliminary reviews of the application materials.","After Zhao Xiuping submitted the construction and environmental assessment permit application, the Qingdao Emissions Trading Center started to do a preliminary review of the submitted application."
32,543,ifeng0812.news.49764500_0,"根据青岛市物价、财政等部门确定的征收标准,目前预估算的初始排污权使用费约为64.12万元,工作人员将在7个工作日内完成核定。","According to Qingdao prices, finance and other departments to determine the collection standards, the current estimated initial sewage right to use about 644.12 million yuan, staff will be completed within seven working days to verify.","According to the collection criteria determined by Qingdao's pricing, finance and other departments, the  initial usage fee for emissions rights is currently estimated at approximately RMB641,200. Staff will complete checking and ratification within seven working days.","The estimated initial emission fee is approximately 641,200 yuan according to the collection standards set by Qingdao Pricing Administration. The staff will process and verify it within 7 business days."
32,544,ifeng0812.news.49764500_0,"此次即将完成的交易首单也预示着青岛排污权交易试点工作正式拉开序幕,也将是全省排污权交易首单和全国城市级排污权交易首单。","The transaction is about to complete the first single also indicates that Qingdao emission trading pilot work officially kicked off, will also be the province's emission trading first single and the first national city-level emissions trading.","The first transaction, which will be completed soon, also marks the formal initiation of the Qingdao Emissions Trading Pilot Project. This will also be the first emissions trading in the province and the first city-level emissions trading in the entire country.","The first trading done represents that the carbon emission trading pilot program has officially started, and will be the first in the province to introduce the emission trading scheme at the city-level."
32,545,ifeng0812.news.49764500_0,"赵秀平说,目前企业环保已投资达4个亿,表面上数额巨大,但对企业经营管理理念、社会效益都有很大影响,对企业创新管理也开辟了空间。","Zhao Xiuping said: At present, enterprises have invested 400 million in environmental protection, a huge amount on the surface, but the concept of business management, social benefits have a great impact on the enterprise innovation and management has also opened up space.","Zhao Xiuping said, ""Presently, enterprises have invested RMB400 million in environmental protection. On the surface, this seems an enormous amount, but it has a profound impact on both the operational and management philosophy of enterprises as well as social benefit, and has provided room for innovative management by enterprises.","Zhao Xiuping mentioned that he has invested RMB 400 million on corporate environmental responsibility. Despite being a large amount of money put into this, it greatly impacts the company's philosophy, social responsibility, and also opens up a new level of innovation management."
32,546,ifeng0812.news.49764500_0,"当天,青岛四方新诚志卓客车配件有限公司也来为年产4200件高铁及动车组内饰配件项目申购排污权。","On the same day, Qingdao Sifang Xinchengzhizhuo Bus Accessories Co., Ltd. has also come to the annual output of 4,200 high-speed rail and EMU interior accessories projects to purchase emission rights.","On that day, Qingdao Sifang Xincheng Zhizhuo Coach Components Co., Ltd. also came to apply for and purchase emission rights for the project to produce 4,200 pieces of interior accessories and components for high speed train and electric multiple units.","On the same day, Qingdao Sifang Xincheng Zhizhuo Coach Parts Co., Ltd. also came to purchase emission permits for their annual production of 4,200 pieces of high-speed rail and EMU (Electrical Multiple Unit) interior parts."
32,547,ifeng0812.news.49764500_0,"该项目属于机械加工企业,申请的初始排污权为化学需氧量(COD)0.514吨/年、氨氮(NOX)0.052吨/年。","The project belongs to the mechanical processing enterprises, the application for the initial emission of chemical oxygen demand (COD) 0.514 tons / year, ammonia nitrogen (NOX) 0.052 tons / year.",This project is initiated by a mechanical processing company. The company is applying for an initial emissions as chemical oxygen demand (COD) of 0.514 tons/year and ammonia nitrogen (NOX) of 0.052 tons/year.,"This project was for the machining companies, with initial emission amount of 0.514 ton/yr of COD, and 0.052 ton/yr of NOX on their application."
32,548,ifeng0812.news.49764500_0,大气污染物排污权有偿使用和交易为全市电力、热力生产供应重点工业企业。,"Air pollutant emission rights paid use and trade for the city's electricity, thermal production and supply of key industrial enterprises.",Paying for the use and trading of air pollutant emissions rights is for the city's key power and heat production and supply industrial enterprises.,The carbon emission trading is an important business to support electricity and heat for the city.
32,549,ifeng0812.news.49764500_0,"2016年1月1日前已取得环评的现有排污单位,暂不征收有偿使用费。","Existing units that have obtained an EIA prior to January 1, 2016, will not be charged a toll fee for the time being.","Existing polluting companies that have received a bad rating prior to January 1, 2016 will be temporarily exempt from the usage fee.","The carbon credits obtained from EIA before January 1, 2016 will not be charged with the usage fee for the time being."
32,550,ifeng0812.news.49764500_0,"“有偿获得排污权并不等于获得了违法排污的权力,并不能随意地排放污染物。”","""Paid access to emission permits is not the same as access to the power of illegal discharge of pollutants, and can not be arbitrarily discharged pollutants.""","""Paying for emission rights does not mean gaining the right to generate illegal emissions. The payer may not emit waste as they like.""","""Purchasing an emission permit does not grant permission to freely discharge illegal pollutants."""
32,551,ifeng0812.news.49764500_0,"青岛市环保局副局长汉红燕介绍,如果违法排污、超标排污仍然要按照相关的法规予以处罚,不可能允许违法企业通过购买排污权的方式来规避处罚。","Han Hongyan, deputy director of Qingdao Municipal Environmental Protection Bureau, said that if illegal discharge, excessive discharge should still be punished in accordance with the relevant regulations, it is impossible to allow illegal enterprises through the purchase of pollution rights to avoid punishment.",Deputy Director Han Hongyan of the Qingdao Environmental Protection Bureau explained that illegal emissions or emissions that exceed specified limits shall be subject to penalties according to relevant laws. Violating companies will not be able to purchase emission rights to avoid punishments.,"Han Hongyan, the Deputy Director of the Environmental Protection Bureau of Qingdao stated the those who discharge illegal pollutants and excessive pollutants will still be punished according to the regulation; those discharging illegal discharge of pollutants and excessive discharge of pollutants will still have to be punished in accordance with relevant regulations, and companies will not be able to purchase emission permits to avoid punishment for illegal or excessive discharges."
