Item,Example,Incorrect Word (Semantics),Incorrect Word (Grammaticality),Missing Word (Semantics),Missing Word (Grammaticality),Named Entity,NE - Person,NE - Location,NE - Organization,NE - Event,NE - Other,Word Order,Factoid,Word Repetition,Collocation,Unknown Words/Misspellings,"Context (Register, Coreference, etc.)",Notes
1,A,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Missing info about when diamonds are purchased, ""as agent"""
1,B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Missing info that the diamonds were purchased on someone's behalf, ""just like that"""
1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"""On her behalf"" is incorect (should be on someone's behalf), ""at a time"""
2,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Should be ""deep"" instead of ""growing"", hard to understand what ""growing partnership between the two"" is actually referring to (Apple and Suning)"
2,B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Should be ""service operator"", ""will inevitable"""
2,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Operators should be plural
3,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""largest"" -> ""oldest"""
3,B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"""largest"" -> ""oldest"", ""standard deviation of 120 years old"""
3,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""largest"" -> ""oldest"""
4,A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"""national"" -> ""ethnic"", omitted information about coming from groups"
4,B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Missing descriptors about the performance, omitted information about coming from groups"
4,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""approximately"" -> ""more than"""
5,A,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"""contradictions"", dropped ""acquire/purchase"", ""the first time low prices to start"""
5,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,A,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"Untranslated ""Shejian"" in organization name, missing ""the"" on Fujian Provincial team"
6,B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"missing ""the"" on ""Fujian Province team"""
6,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,A,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"Xiamen Shooting team not meant to be named organization, ""asked the team members not to move"" is supposed to refer to the exercise"
7,B,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,"Xiamen Shooting team not meant to be named organization, missing details about the nature of the endurance exercise"
7,C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""A standing posture rifle firing training"", ""standing posture rifle firing"" is incorect"
8,A,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Gracia -> Grecia
8,B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Missing that the workers had to clean the broken beak
8,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Gracia -> Grecia
9,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,C,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Beidaliao -> Beidaliu
10,A,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,"Missed information as to where the producer worked, Gracia -> Grecia"
10,B,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Paul Heredia -> Paula Heredia
10,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Gracia -> Grecia
11,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""over time"" -> ""overtime"", organizer should probably be plural"
11,B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,missing that the organizers worked on the night of the 9th
11,C,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"""at the earliest"", missing articles on dates, date format"
12,A,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"""was"" -> ""and"", ""represents the goodness"", missing some values"
12,B,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"""Mountain Forest Yard"", ""inherits"" -> ""represents"""
12,C,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,"""ShanLinChang"", ""Lei Feng"", ""Finalist Winner"", ""beauty of our ear"""
13,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"missing ""same departments"""
13,B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,""";social networking platform"" -> ""a social networking platform"""
13,C,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"entrepeneurial/business support attached to wrong thing, ""doctor-patient relationship"" -> ""doctor patient relationships"""
14,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""stipulating"", 2012 Olympics advertising strategy is ambiguous"
14,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,A,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"""at Xiang'an District"" -> ""in Xiang'an District"", missing ""at his home"""
15,B,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"missing ""few days ago"", ""Xiang'an District of Xiamen"" -> ""the Xiang'an District of Xiamen"""
15,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"""medals, medals"""
16,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plaques -> medals
16,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,A,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"missing that she just missed the silver several times, ""in her 16 years of her shooting career"""
17,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,gender wrong
17,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""brushed past"" is weird in this context"
18,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"missing what kind of gangs they are (thieves, muggers, conmen)"
19,A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"not specifying police, ""throughout the cases"" -> ""while investigating the cases"""
19,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,B,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"""technology of the future"" missing, missing the in ""not for next generation"""
20,C,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Thomas Langer -> Thomas Lange
21,A,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"should be ""moved for environmental reasons"", ""Old Town of Qingdao"" -> ""the Old Town of Qingdao"""
21,B,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"""at the end of last year"" in the wrong place, very incoherent (missing and incorrect function words)"
21,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,B,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"""of the 4 Olympic dynasties"" -> ""of 4 Olympic games"""
22,C,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"""1 bronze medals"", missing ""in 4 games"""
23,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,C,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"fragment after semicolon -> ""and was"" is better, ""cautious"" -> ""nervous"""
24,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,C,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Julius Nilsson -> Julius Nielsen
25,A,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"doesn't specify ""human friends"", lots of awkward phrasing (""to be able to see her"")"
25,B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"doesn't convey the ""not only"", translation of ""it"" when gender was given earlier"
25,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"translation of ""it"" when gender was given earlier"
26,A,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,US Embassy Residence -> residence of the US ambassador
26,B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Missing UK
26,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""collection of photos"" -> atlas"
27,A,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"""questions"" instead of ""blame"", no naming of ""Mdm Yin"", missing that the date talks about the news spreading"
27,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,C,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"family ""accountability"", ""condolence"" -> ""sympathy"", ""people"" -> ""girl"", ""after the news spread"" and ""friends and family"" in the wrong place"
28,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"""payment buisness undertaking"""
28,C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,missing type of merged institution
29,A,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"""in another word"", ""environmental offense"" -> ""environmental violations"""
29,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,C,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Currently sounds like a fragment
30,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,B,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"""Ali"" -> ""Alibaba"""
30,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,A,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"""not only... and even"", weird insertions of the definite article ""the"", singular-plural mismatch ""people's social life"""
31,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,C,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"""social circle of cyberspace"", missing ""quietly changing/replacing"""
32,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""look forward"" seems closer to hope in this sentence but not really fully incorrect"
32,B,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"""two-times world champion"", ""breakthrough for zero gold medals"""
32,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""blowout"" isn't exactly accurate - it's more about unexpectedly forcing themselves in"
33,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""comply with the one"""
33,B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,missing information about continuous study
33,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""stage results"" -> ""step-by-step approach"""
34,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""achieved for"" -> ""achieved by"""
35,A,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,"""independeat"", ""FIT"" stands for ""free, independent traveler"""
35,B,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,"Not translating into multiple sentences, missing information about independent traveler, missing point about enforcement, ""retail market"" -> ""FIT market"", ""with the low rate"""
35,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""there is a low possibility"" has a different conntation than the original source, which is closer to ""very unlikely"""
36,C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"missing ""people believe"""
37,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""accompanied by each other"" -> ""compatible, harmonious"""
37,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"missing ""approximately"""
38,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"singular-plural for ""one... affect"", alkalinity isn't an explanation"
39,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"""alkalinity of the water quality"""
40,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"missing ""positive"""
41,A,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"missing ""the iPhone 6"", ""the iPhone 7"""
41,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""payment business"", ""the relevant organization"" should be plural"
42,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""payment business"" should be plural"
43,A,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Xigongyuan should probably be translated
43,B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Missing that the tourists are FITs
43,C,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Missing that the tourists are FITs, ""the West Park"
44,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Missing ""the number of"""
