"Error.Category","human_a","human_b","mt","a_b","a_mt","b_mt"
"Incorrect Word",51,52,85," ","***","***"
"Incorrect Word (Semantics)",33,36,48," ","."," "
"Incorrect Word (Grammaticality)",18,16,37," ","**","**"
"Missing Word",37,69,56,"***","*"," "
"Missing Word (Semantics)",22,62,34,"***"," ","***"
"Missing Word (Grammaticality)",15,7,22," "," ","**"
"Named Entity",16,19,30," ","*"," "
"NE - Person",1,10,10,"*","*"," "
"NE - Location",5,4,6," "," "," "
"NE - Organization",4,4,8," "," "," "
"NE - Event",1,1,3," "," "," "
"NE - Other",5,1,7," "," ","."
"Word Order",1,4,17," ","***","**"
"Factoid",1,1,6," "," "," "
"Word Repetition",2,4,4," "," "," "
"Collocation",15,18,27," ","."," "
"Unknown Words/Misspellings",0,1,0," "," "," "
"Context (Register, Coreference, etc.)",6,9,12," "," "," "
"Any",81,103,118,"*","***","."
"Total",129,177,237,"**","***","**"
