ID,Judgement
m1d-1,A
m1d-2,A
m1d-3,X
m1d-4,B
m1d-5,B
m1d-6,B
m1d-7,B
m1d-8,B
m1d-9,A
m1d-10,A
m1d-11,B
m1d-12,B
m1d-13,B
m1d-14,B
m1d-15,B
m1d-16,A
m1d-17,A
m1d-18,A
m1d-19,X
m1d-20,A
m1d-21,A
m1d-22,B
m1d-23,B
m1d-24,B
m1d-25,A
m1d-26,A
m1d-27,A
m1d-28,A
m1d-29,B
m1d-30,A
m1d-31,B
m1d-32,A
m1d-33,B
m1d-34,A
m1d-35,B
m1d-36,A
m1d-37,B
m1d-38,A
m1d-39,B
m1d-40,A
m1d-41,B
m1d-42,A
m1d-43,B
m1d-44,A
m1d-45,A
m1d-46,A
m1d-47,B
m1d-48,A
m1d-49,A
m1d-50,B
m1d-51,A
m1d-52,A
m1d-53,B
m1d-54,A
m1d-55,B
m1d-56,X
